ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
61,Module 4. An toàn,4,3,Hình ảnh "sợi dây thừng mục nát" nối giữa sợi dây xích thép trong an ninh hệ thống ám chỉ điều gì?,Máy chủ máy tính hoạt động quá chậm,Sự lỗi thời của các phần mềm giá rẻ,Điểm yếu sinh ra từ nhận thức của con người,Cáp truyền tải tín hiệu mạng bị đứt gãy,C,Điểm yếu sinh ra từ nhận thức của con người,Đáp án chính xác là: Điểm yếu sinh ra từ nhận thức của con người. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
62,Module 4. An toàn,4,3,Tại sao một hệ thống công nghệ tường lửa đắt tiền nhất vẫn có thể sụp đổ hoàn toàn dễ dàng?,Do ngân sách dự án năm sau luôn bị giảm bớt,Vì nhân viên quá bất cẩn nhấn link email lừa đảo,Do khách hàng quên thường xuyên cập nhật mã thẻ số,Phân bổ lưu lượng máy chủ nội bộ luôn bị ách tắc,B,Vì nhân viên quá bất cẩn nhấn link email lừa đảo,Đáp án chính xác là: Vì nhân viên quá bất cẩn nhấn link email lừa đảo. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
63,Module 4. An toàn,4,3,Một lá chắn bảo mật hoàn chỉnh đối với tổ chức luôn cần được kết hợp bởi hai mặt kiểm soát nào?,Kiểm soát hệ kỹ thuật và hệ thống Kiểm soát quản trị,Khởi tạo mã hóa đa tầng lớp và Nhận diện chuỗi tự động,Trí tuệ học máy AI tạo sinh và Nâng cấp phần mềm máy,Chiến lược kế hoạch bán hàng và Trải nghiệm của khách,A,Kiểm soát hệ kỹ thuật và hệ thống Kiểm soát quản trị,Đáp án chính xác là: Kiểm soát hệ kỹ thuật và hệ thống Kiểm soát quản trị. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
64,Module 4. An toàn,4,3,Bản chất cốt lõi của lớp Kiểm soát quản trị (Administrative Controls) là gì?,Dùng cấu trúc thuật toán tạo rào che phần mềm web,Giới hạn hành vi hoạt động bằng các chính sách gốc,Thiết lập những bức tường lửa nhằm ngăn chặn DDoS,Vô hiệu ngắt khóa các tính năng thanh toán của web,B,Giới hạn hành vi hoạt động bằng các chính sách gốc,Đáp án chính xác là: Giới hạn hành vi hoạt động bằng các chính sách gốc. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
65,Module 4. An toàn,4,3,Công cụ đắc lực nhất của Kiểm soát quản trị để ngăn ngừa phá hoại rò rỉ từ bên trong là gì?,Bố trí thêm mạng lưới camera lưu lại hoạt động nhân viên,Thiết lập giới hạn quyền hạn và Phân quyền nội nhân sự,Khuyến khích tạo áp lực đẩy mạnh cạnh tranh lượng bán hàng,Bật mã hóa hệ lưu phân khu tự động lưu cho hệ thống gốc,B,Thiết lập giới hạn quyền hạn và Phân quyền nội nhân sự,Đáp án chính xác là: Thiết lập giới hạn quyền hạn và Phân quyền nội nhân sự. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
66,Module 4. An toàn,4,3,"Kiến trúc an ninh toàn doanh nghiệp được ví như ngôi đền mà phần ""Nền móng"" tượng trưng cho điều gì trọng tâm?",Dàn máy siêu xử lý dữ liệu đời mới băng thông rất rộng,Khoản ngân sách cố định hàng đợt nhập mua phần mềm ngoại,Nguồn tài nguyên kiến thức Chính sách và Đào tạo con người,Hệ thuật toán ứng dụng băm chia tích phân xác thực bảo mật,C,Nguồn tài nguyên kiến thức Chính sách và Đào tạo con người,Đáp án chính xác là: Nguồn tài nguyên kiến thức Chính sách và Đào tạo con người. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
67,Module 4. An toàn,4,3,"Trong mô hình Ngôi đền an ninh kỹ thuật số, phần ""Mái nhà"" tượng trưng cho vai trò bao bọc của tổ chức bộ phận nào?",Những lực lượng nhân sự ở bộ phận tư vấn tổng đài chăm sóc khách,Các cam kết xuyên suốt từ trên xuống của Ban cấp cơ sở Giám đốc,Mạng lưới tệp khách hàng thân thiết thường xuyên truy cập vào xem,Lượng bạn thanh niên tài năng sinh viên thực tập thuộc chuyên ban Marketing,B,Các cam kết xuyên suốt từ trên xuống của Ban cấp cơ sở Giám đốc,Đáp án chính xác là: Các cam kết xuyên suốt từ trên xuống của Ban cấp cơ sở Giám đốc. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
68,Module 4. An toàn,4,3,Tại sao sự cam kết ủng hộ hỗ trợ của Ban Giám đốc lại rất quyết định đến khả năng thành bại của hệ thống kiến trúc?,Trọng dụng nguồn thợ xây công thái học phần mềm gốc rễ cực thân tin,Vì chỉ họ có khả năng đánh máy thao tác xử lý hệ máy nội mạng cực nhanh,Họ chính là lực lượng cốt cán nắm giữ quyết định chiến lược và số ngân sách,Họ là những người duy nhất trực tiếp lên lớp tham gia chặn đứng các mã nguồn,C,Họ chính là lực lượng cốt cán nắm giữ quyết định chiến lược và số ngân sách,Đáp án chính xác là: Họ chính là lực lượng cốt cán nắm giữ quyết định chiến lược và số ngân sách. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
69,Module 4. An toàn,4,3,Kế hoạch Liên tục Kinh doanh nền tảng BCP mang lại tác dụng quan trọng cốt tủy nào khi mà trạng thái khủng hoảng xảy ra?,Triển khai hệ thông tin tìm diệt gốc độ mã nguồn bị nhiễm siêu cấp,Hỗ trợ hệ thống chuyển hướng trạng thái để duy trì chức năng cốt lõi,Bồi hoàn và bù đắp lập tức mọi tổn thất gây ảnh hưởng nhanh chóng theo quy,Bảo chứng và giữ nguyên trạng các máy vi tính xử lý theo chuẩn máy hoàn hảo,B,Hỗ trợ hệ thống chuyển hướng trạng thái để duy trì chức năng cốt lõi,Đáp án chính xác là: Hỗ trợ hệ thống chuyển hướng trạng thái để duy trì chức năng cốt lõi. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
70,Module 4. An toàn,4,3,Trong ngày hội Flash Sale nếu bị nhận lượng tấn công, ứng dụng BCP sẽ giúp hệ thống ngay tức thời chuyển qua trạng thái nào?,Đóng băng và khóa mọi luồng thao tác giao dịch điện thoại trong khoảng thời gian,Chuyển hướng đối tượng người dùng qua nhánh máy chủ dự phòng đơn giản hơn,Gạch bỏ và xóa trắng mọi bộ nhớ nội ngoại vi để bao vây ẩn giấu kho lưu,Chủ động chặn và khóa truy cập ngắt mọi kết nối với toàn bộ thành phần mua sắm,B,Chuyển hướng đối tượng người dùng qua nhánh máy chủ dự phòng đơn giản hơn,Đáp án chính xác là: Chuyển hướng đối tượng người dùng qua nhánh máy chủ dự phòng đơn giản hơn. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
71,Module 4. An toàn,4,3,Sự tiến hóa trong việc gây thiệt hại của nền tảng tội phạm mạng hiện tại được thay đổi đáng kể như thế nào so với giai đoạn thuở đầu?,Dịch chuyển từ trục lợi lấy hàng tỷ triệu đô la tới đánh hoại trang giao diện web vui,Di dời động từ tổ chức trả đũa nhắm đến một cá nhân sang thành phần chống hỗ trợ pháp luật,Phát triển từ việc kết hợp liên phòng thành số ít các nhân tài có lối tư duy suy luận rất đỉnh,Hình thành lên từ mục đích thể hiện cái tôi siêu đẳng tới kinh doanh lấy tiền trục lợi tinh vi,D,Hình thành lên từ mục đích thể hiện cái tôi siêu đẳng tới kinh doanh lấy tiền trục lợi tinh vi,Đáp án chính xác là: Hình thành lên từ mục đích thể hiện cái tôi siêu đẳng tới kinh doanh lấy tiền trục lợi tinh vi. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
